2019 10th International Conference on Networking and Information Technology (ICNIT 2019)--EI,Scopus;THE ASPASIA PHUKET;Phuket;Thailand;Wuhan;China;
VM5941:6 2019 11th International Conference on Information Management and Engineering (ICIME 2019)--Ei,Scopus;The Cavendish London;London;United Kingdom;China;;
VM5941:6 2019 2nd IEEE Int. Conf. on Information Communication and Signal Processing (ICSP 2019)--Ei,Scopus;SHANDONG UNIVERSITY ACADEMIC CE;Weihai;China;China;;
VM5941:6 2019 2nd International Conference on Information Hiding and Image Processing (IHIP 2019)--SCOPUS, Ei;The Cavendish London;London;United Kingdom;China;;
VM5941:6 2019 3rd Int. Conf. on Natural Language Processing and Information Retrieval (NLPIR 2019)_Ei,Scopus;Kyogyo-kaikan Memorial Hall, Tokushima University;Tokushima;Japan; China;Jinan;China
VM5941:6 2019 4th International Conference on Information and Education Innovations (ICIEI 2019)--Ei,SCOPUS;Durham University, United Kingdom   Geography Department;Durham;United Kingdom;China;;
VM5941:6 2019 4th International Conference on Information and Network Technologies (ICINT 2019)--EI,Scopus;Suzaku Campus, Ritsumeikan University;Kyoto;Japan;China;;
VM5941:6 2019 Annual Int. Conf. on Digital Media and Information Processing (DMIP 2019)--ACM,EI,Scopus;Wuhan Hongyi Hotel;Wuhan;China;China;;
VM5941:6 2019 Int. Conference on Advanced Information Systems and Engineering (ICAISE 2019)--Ei,Scopus;Ain Shams University;Cairo;Egypt;China;;
VM5941:6 2019 Int. Conference on Information Technology and Education Technology (ITET 2019)--JA,Scopus;Peninsula Excelsior Hotel;Singapore;Singapore;China;;
VM5941:6 2019 The 11th Int. Conference on Information and Multimedia Technology (ICIMT 2019)--Ei,Scopus;Beijing Hotel;Beijing;China;China;;
VM5941:6 2019 The 7th Int. Conf. on Information Technology IoT and Smart City (ICIT 2019)--Ei,Scopus;JIA Shanghai;Shanghai;China;;;
VM5941:6 2019 The 7th International Conference on Information Technology and Science (ICITS 2019)--EI,SCOPUS;Grand Hyatt Hong Kong;Hong Kong;Hong Kong;;;
VM5941:6 2019 The 9th Int. Conference on Information Communication and Management (ICICM 2019)--Ei,Scopus;Marriott Prague;Prague;Czech Republic;;;
VM5941:6 2020 3rd Int. Conf. on Signal Processing and Information Communications (ICSPIC 2020)JA,Scopus;W Retreat and Spa Bali;Bali;Indonesia;China;;
VM5941:6 2020 5th International Conference on Intelligent Information Technology (ICIIT 2020)--Ei,Scopus;Boss Legend Hotel, Hanoi, Vietnam;Hanoi;Vietnam;China;;
VM5941:6 2020 Int. Conference on Advances in Education and Information Technology (AEIT 2020)--JA,Scopus;Phuket;Phuket;Thailand;China;;
VM5941:6 9th International Conference on Computer Science, Engineering and Applications (CCSEA 2019);Toronto, Canada;Toronto;Ontario;Canada;;
VM5941:6 ACM--2019 International Conference on Knowledge and Information Management (ICKIM 2019)--EI,Scopus;HONGYI HOTEL;Wuhan;China;China;;
VM5941:6 IEEE--2019 11th International Conference on Advanced Infocomm Technology (ICAIT 2019)--Ei,SCOPUS;Shandong Normal University, Changqinghu Campus, China;Jinan;China; China;China;
IEEE--2019 Asia IoT Technologies Conference (AIOTT 2019)--Ei,Scopus;SHANDONG UNIVERSITY ACADEMIC CE;Weihai;China;;;
VM5995:6 MATEC--2019 3rd Int. Conf. on Information Processing and Control Engineering(ICIPCE 2019)--Ei,Scopus;RUDN University;Moscow;Russian Federation;;;
VM5995:6 13. International multiconference INFORMATION SOCIETY 2010 (IS 2010);JoÅ¾ef Stefan Institute,;Ljubljana,;Slovenia;;;
VM5995:6 13th GCC eGovernments and eServices Forum;Al Bustan Rotana Hotel, Dubai UAE;Dubai;United Arab Emirates;;;
VM5995:6 13th International Conference on Business Process Modeling, Development, and Support;Gdansk;Gdansk;Poland;;;
VM5995:6 13th International Conference on Computer and Information Technology;Permanent Campus, Ahsanullah University of Science and Technology, Dhaka, Bangladesh;Dhaka;Bangladesh;;;
VM5995:6 15th International Conf on Software Engineering and Data Engineering (SEDE-2006);Omni LA Hotel at California Plaza;Los Angeles;California;United States;;
VM5995:6 15th International Conference on Business Information Systems;Vilnius University;Vilnius;Lithuania;;;
VM5995:6 15th International Symposium on Health Information Management Research (ISHIMR 2011);Zurich;Zurich;Switzerland;;;
VM5995:6 16th International Conference on Electronic Publishing;University of Minho, GuimarÃ£es, Portugal;GuimarÃ£es;Portugal;;;
VM5995:6 16th International Multiconference Information Society;Jozef Stefan Institute;Ljubljana;Slovenia;;;
VM5995:6 19th International Conference on Software Engineering and Knowledge Engineering;Boston;Boston;Massachusetts;United States;;
VM5995:6 19th ISPE International Conference on Concurrent Engineering;University of Applied Sciences. Trier, Germany;D-54293 Trier;Germany;;;
VM5995:6 1st East European Workshop on Rule-Based Applications;Timisoara;Timisoara;Romania;;;
VM5995:6 1st Global Conference Immersive Worlds and Transmedia Narratives;Salzburg;Salzburg;Austria;;;
VM5995:6 1st Global Conference on Privacy and Ethics;St. Louis - TBD;St. Louis;Missouri;United States;;
VM5995:6 1st International academic conference Information, Communication, Society 2012;Lviv Polytechnic National University;Lviv;Ukraine;;;
VM5995:6 1st International Conference on Recent Advances in Information Technology (RAIT-2012);Indian School of Mines (ISM);Dhanbad;Jharkhand;India;;
VM5995:6 1st INTERNATIONAL CONFERENCE ON TOURISM AND TECHNOLOGY 2011 INDIA;IIT DELHI;NEW DELHI;INDIA;India;;
VM5995:6 1st International Malaysian Educational Technology Convention;Johor Bahru, Malaysia;Johor Bahru;Johor;Malaysia;;
