talkid;name;role;bio
48efcfc2382ae91c65a509bcb1323a88;Sean Michael Kerner;Jedi, eWeek / InternetNews / eSecurity Planet;Sean Michael Kerner is a senior editor and his coverage of the technology industry appears in  eWEEK,Enterprise Networking Planet,  and ServerWatch  to name a few. Kerner is also an IT consultant, technology enthusiast and tinkerer, and has been known to spend his spare time immersed... Read More →
48efcfc2382ae91c65a509bcb1323a88;Frederic Lardinois;News Editor, TechCrunch;Before he joined TechCrunch in 2012, he founded SiliconFilter and wrote for ReadWriteWeb (now ReadWrite). Frederic covers enterprise, cloud, developer tools, Google, Microsoft, gadgets, transportation and anything else he finds interesting. He owns just over a 50th of a bitcoin.
a26965d9720035da90365756d0e17246;Beatriz Martínez Rubio;Cloud Engineer, IBM;Beatriz Martínez works at IBM’s Architecture and Innovation department, mainly focus on enterprise-grade cloud environments. Passionate about technology and innovation, she is an insatiable learner who loves getting involved with open-source communities.
60b42b610a13993bfde95431d4b2df63;Vladimir Vivien;Software Engineer, VMware;Vladimir Vivien has an extensive career as a software engineer. He currently works at VMware in the Cloud Native Application group where he is passionate about contributing upstream to the Kubernetes open source project. Vladimir also enjoys writing blogs on technology and he has... Read More →
7421810e408f0d8e9bb203a1889ef66a;Fernando Diaz;Software Engineer, IBM;Fernando Diaz is an active contributor to Kubernetes, mainly focusing on Ingress-Nginx. Fernando is currently a Cloud Developer for IBM and works on the IBM Cloud Service Optimization and Resiliency. |   |  In the past Fernando was an OpenStack Core Contributor, focusing on Barbican(Key... Read More →
b9aa6fded8eac23badb08fe4b017af8a;James Wen;Senior Site Reliability Engineer, Spotify;James Wen is a senior site reliability engineer at Spotify, where he’s currently focused on revamping Spotify’s runtime infrastructure. Previously, James was the team lead (anchor) of the Cloud Foundry Buildpacks team at Pivotal and served as a core contributor and maintainer... Read More →
9c9a3814f089900a626f827d83d7527b;Hannah Foxwell;Associate Director, Pivotal;Hannah Foxwell is Associate Director for Pivotal Cloud Foundry Solutions at Pivotal, based in the UK. She leads a team of Solution Architects and Product Managers who are focussed on building wildly successful Platform Teams with Pivotal’s customers across EMEA. |   |  Hannah is... Read More →
5128b32980b4b2b0373905101c9faf26;Antoine Legrand;Software Engineering Manager, Red Hat;Antoine Legrand is a software engineering manager at CoreOS/Red Hat. He co-founded Kubespray and works closely with major actors in the ecosystem to improve the user experience in managing application and Kubernetes clusters. Antoine is involved with open source and cloud-native software... Read More →
6592d145e98f7bdbb6553bb26442749d;Piotr Szczesniak;Senior Software Engineer, Google;Piotr is Tech Lead/Manager working at Google since 2014. He works on GKE/Kubernetes for 4+ years, joining the project in its early days. Piotr leads GKE Monitoring team and Special Interest Group “Instrumentation” in Kubernetes open source community. |   |  Piotr graduated from... Read More →
6581550dd69e4eccfc6f2f530033a5f6;Ruben D Orduz;Member Technical Staff, VMware;Ruben presently works at VMware Cloud Native Business Unit focusing on Kubernetes and more specifically cluster lifecycle and cluster API. Previously Ruben worked at Heptio where he played several roles from Field Engineer to Engineering QA.
ca3b4bf5c0bfa86e0d6ae3d58b809430;Risha Mars;Software Engineer, Buoyant;Risha is a Software Engineer at Buoyant and works on the Linkerd 2 control plane, writing APIs, CLIs and dashboards using Go and Javascript. Previously, Risha worked on the Ads team at Twitter, on internal ads tooling and dashboards.
725be18bfe35c22104469a4c42a9c9d5;Zach Arnold;DevOps Engineering Manager, Ygrene Energy Fund;Zach Arnold works as a DevOps Engineering Manager for Ygrene Energy Fund in beautiful Sonoma County, CA. He is an active contributor to open source including the Kubernetes project. Zach and his good friend Austin are producing a book for Manning Publishing on Kubernetes Security... Read More →
3603a09534eca7e8d3f0a8ff07f457a3;Olive Power;Architect, VMware;I currently work at VMware , were I transitioned to as part of the Heptio acquisition. I am working on the Kubernetes offerings that Heptio has brought into VMware, namely kubernetes subscription and support. I help customers design and build their kubernetes platform. I was previously... Read More →
