"talkid";"title";"type";"description";"skill";"from";"to";"room";"fromIso";"toIso"
"67f0a0ecbe40334c5a458e49f402aa02";"Cephalocon (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: Standard Rate of $450 until March 15; Late Rate of $550 from March 15 – May 20Cephalocon Barcelona aims to bring together more than 800 technologists and adopters from across the globe to showcase Ceph’s history and its future, demonstrate real-world applications, and highlight vendor solutions. Join us in Barcelona, Spain on 19-20 May 2019 for our second international conference event.How to register: To register for Cephalocon, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to events@linuxfoundation.org.";"Any (All levels of expertise would benefit from this session)";"Sunday May 19, 2019 09:00";"Sunday May 19, 2019 17:00";"Hall 8.1";"2019-05-19T09:00:00";"2019-05-19T17:00:00"
"24a4eeeb199b7e9d31df12be4e28e4d7";"Anthos/GKE Workshop hosted by Google Cloud (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $50Anthos is the new paradigm for infrastructure modernization from Google. Anthos empowers you to create a reliable, portable, and consistent infrastructure; across clouds and on-premises. Built on open-source technologies pioneered by Google, including Kubernetes and Istio, Anthos allows you to build once to run anywhere.In this workshop, you will gain hands-on experience with the Anthos technologies, including the Hub for managing multiple clusters from different locations. You will set up an application across multiple environments and connect them using a multi-cluster service mesh. You’ll also learn about the advanced features of Google Kubernetes Engine (GKE).Prerequisites: Laptop, basic Kubernetes experienceHow to register: Pre-registration is required. To register for Anthos/GKE Workshop, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to meetusatkubecon@google.com.";;"Monday May 20, 2019 08:00";"Monday May 20, 2019 12:00";"Hall 8.0 C1";"2019-05-20T08:00:00";"2019-05-20T12:00:00"
"ff496871112fdfbd0f9f5732aed80311";"Open Data Autonomy Mini Summit hosted by OpenSDS (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $50The Open Data Autonomy Mini Summit is an all-day event focusing on data & storage challenges and solutions in cloud native era. The OpenSDS community is working to build an open autonomous data platform integrating all disparate data services, such as data migration, replication, life cycle, protection etc along with AI/ML. The platform is self-governed and intelligent. OpenSDS is a Linux Foundation project and its members include IBM, Fujitsu, Huawei, Intel, Western Digital, Dell-EMC, Hitachi, LINBIT, Vodafone, KPN, NTT Communications, China Unicom, Yahoo! JAPAN, Toyota Infotech, GMO, IIJ, Click2Cloud, Oregon State University. It is a great opportunity to learn and collaborate to build solutions for cloud native challenges of data autonomy.The event is organized with Hands-on Workshop (BYOD), Demos, Deep Dive Sessions and End User Sessions. It can provide an end to end experience and networking opportunity during welcome breakfast and evening reception dinner.The day will have a mix of technical sessions, end user case studies, interactive workshops, demos and roadmap discussions.Take back learning on data management challenges, solutions and how to collaborate. Great opportunity for networking.Win interesting goodies and of course enjoy food and beverages through the day! Collaborate | Engage | ContributeDetailed Agenda and Details here.How to register: Pre-registration is required. To register for Open Data Autonomy Mini Summit, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to info@opensds.io.";;"Monday May 20, 2019 08:00";"Monday May 20, 2019 17:00";"Hall 8.0 F3";"2019-05-20T08:00:00";"2019-05-20T17:00:00"
"f16b3c2f3036e7dfd94990bd64d5686a";"OpenShift Commons Gathering hosted by Red Hat (Additional Registration + Fee Required)";"Pre-Conference Co-Located EventsWildcard";"Registration Fees: $50.00Join key stakeholders, customers, upstream project leads, and contributors that make up the Red Hat OpenShift ecosystem for a full day of talks, demos and case studies from stakeholders, customers, and contributors from across the OpenShift ecosystem.The OpenShift Commons Gathering brings together experts from all over the world to discuss real-world implementations of container technologies, best practices for cloud native application developers and the upstream open source software projects that make up the OpenShift ecosystem.Speakers come from the 475+ member organizations that now make up the OpenShift Commons ecosystem.The Barcelona event will include case studies from Macquarie Bank, Six Group, MOD/Israel and other Commons members with production deployments of OpenShift, as well as talks by Kubernetes and other upstream project leads, deep dives into the current and future releases of OpenShift and Operator Framework by members of Red Hat’s OpenShift engineering and product management teams.More speakers and panelists are being added, check out the full agenda here.If you are interested in sponsoring the OpenShift Commons Gathering, please click here for more information.How to register: Pre-registration is required. To register for OpenShift Commons Gathering, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Alexa, ahollis@redhat.com.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 08:00";"Monday May 20, 2019 17:00";"Hall 8.0 B1";"2019-05-20T08:00:00";"2019-05-20T17:00:00"
"97420b46e3c247eaede58a78717b1554";"AWS Container Day (Additional Registration Required)";"Pre-Conference Co-Located Events";"Registration Fees: ComplimentaryAll the goodness of AWS, with the familiarity of Kubernetes. Begin your KubeCon 2019 in Barcelona by learning how Amazon EKS makes it easy to deploy, manage, and scale containerized applications using Kubernetes on AWS. This full-day event will feature keynote from Bob Wise, GM Amazon EKS, and Mark Shuttleworth - founder and CEO of Canonical Ltd. In addition, we'll discuss the EKS roadmap, talk about machine learning and deep learning on EKS, do a workshop to get you hands-on with EKS, and talk to customers and partners about how they're using and integrating with EKS. Please bring your laptops to help setup for the EKS workshop.Learn more about the event here. How to Register: Pre-registration is required. Register here for AWS Container Day.For questions regarding this event, please reach out to containers-pmm@amazon.com.";;"Monday May 20, 2019 08:00";"Monday May 20, 2019 18:00";"Porta Fira";"2019-05-20T08:00:00";"2019-05-20T18:00:00"
"89317abd1b02637fc41b76054fc46e35";"Cloud Native Storage Day hosted by Cloud Native Storage ecosystem (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: $75.00Join us for a very special Cloud Native Storage Day! We have brought together users of cloud native storage technologies as well as experts from the top cloud native storage companies to bring you a fantastic day rich with thought-provoking sessions including technical demos, panel discussions, presentations, and a terrific networking opportunity for you to get to know the experts in Container Storage. Come learn all about the virtues of multi-cloud operations of stateful services with Kubernetes, running stateful applications in containers, cloud native data management, in short, all things cloud native storage! Twelve CNS companies partnered together to bring you this creative, community-oriented day.Visit www.cloudnativestorageday.com to see the  full agenda.How to register: Pre-registration is required. To register for Cloud Native Storage Day, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Lisa, lisa@portworx.com.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 08:30";"Monday May 20, 2019 17:00";"Hall 8.0 C4";"2019-05-20T08:30:00";"2019-05-20T17:00:00"
"11b1440455a927dd8a00e990e19343ed";"Intro to Containers and Kubernetes hosted by VMware (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: $249, to be donated to diversity scholarshipsReady to dive a little deeper into the world of Kubernetes? Understand the first principles of a cloud native infrastructure, and then dig into our lab environment and deploy your first cluster. This training is designed for attendees who are early in their cloud native journey—you will walk out with more knowledge of basic concepts and greater comfort in working with containers.How to register: Pre-registration is required. To register for Intro to Containers and Kubernetes, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Dan Finneran, finnerand@vmware.com.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 09:00";"Monday May 20, 2019 15:30";"Hall 8.0 E9";"2019-05-20T09:00:00";"2019-05-20T15:30:00"
"538113c2d7352cc29cfe987d50f922bf";"Cloud Native Network Services Day hosted by LFN (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $50Cloud Native Network Services Day is about bringing open source networking projects together with cloud native developers looking to expand their reach in the networking space. Attendees will benefit from the perspectives of both communities around their latest innovations and strategies for accelerating CSP testing and deployment and reducing time-to-market for services.The day will include a brief overview of the open source networking landscape of projects and will cover pressing industry use cases — such as a Cloud Native 5G Virtual Central Office (VCO). Other potential topic areas are:– Cloud Native Orchestration– Network Service Mesh Use Cases– vRAN/vEPC– CI/CD– SDN/NFV– Edge AutomationView the complete schedule here! How to register: Pre-registration is required. To register for Cloud Native Network Services Day, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to lfn-info@linuxfoundation.org.";;"Monday May 20, 2019 09:00";"Monday May 20, 2019 16:00";"Hall 8.0 E4";"2019-05-20T09:00:00";"2019-05-20T16:00:00"
"bfeac0a89a728ce47c383a2c107d9b80";"Cloud Native Security Day hosted by Twistlock (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $100 donated to CNCF Diversity Scholarship FundDevSecOps is a term that’s thrown around these days, referring to the ability to not only automate the build and deployment pipeline of application development, but to also slipstream in security along the way. In this one day event, we will dive deep and show you various examples throughout that pipeline of how to make DevSecOps a reality in your organization. We will bring speakers from across the pipeline tooling continuum to discuss security throughout the automation process, as well as a few customers who have successfully implemented this in their own environments. You’ll come away with practical implementation recommendations of how to make DevSecOps a reality rather than a buzzword.Visit http://go.twistlock.com/cloudnativesecurityday for more information.How to register: Pre-registration is required. To register for Cloud Native Security Day, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to contact@twistlock.com.";;"Monday May 20, 2019 09:00";"Monday May 20, 2019 16:00";"Hall 8.0 F5";"2019-05-20T09:00:00";"2019-05-20T16:00:00"
"78085acd9b599ced3f1c14ec2af0589a";"Cephalocon";"Pre-Conference Co-Located Events";"Registration Fees: USD $100Cephalocon Barcelona aims to bring together more than 800 technologists and adopters from across the globe to showcase Ceph’s history and its future, demonstrate real-world applications, and highlight vendor solutions. Join us in Barcelona, Spain on 19-20 May 2019 for our second international conference event.How to register: To register for Cephalocon, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to events@linuxfoundation.org.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Hall 8.1";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"af36e7441a4cfdbc592a5e2c8c47a622";"Cloud-Native Transformation Summit 2019 hosted by Sysdig (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $149 if registered by April 15; Standard rate of USD $169 starting April 16Cloud-Native Transformation Summit 2019 is a one-day event for the KubeCon community to look at how enterprise organizations are moving into production-level Kubernetes and transforming their applications and infrastructure operations into Cloud-Native technologies.As many enterprises move from proof of concept to production, they face challenges in securing, maintaining visibility, scaling, and troubleshooting application development and infrastructure operations. But, it’s not just technology–there are important processes, organizational and cultural considerations to consider on the journey to a cloud-native enterprise.Join fellow cloud-native practitioners from the user and technology ecosystem to hear real-world insights and learnings. You’ll walk away with a blueprint to address technology, process, organizational and cultural considerations, such as:How containers and microservices have radically changed visibility and security requirements for enterprise applicationsChallenges of scale and how to resolve them when you move from an application on a host to a sophisticated, dynamically orchestrated, multi-container architectureProducing and implementing a comprehensive cloud-native security strategy among IT, Security teams, DevOps, DevSecOpsHow visibility and monitoring at scale may be the missing links in reaching your goal of a resilient cloud-native infrastructureIf you want to be ahead of the shift and help lead change, you’ll want to attend this event.Check out the agenda and speaker line up on our website!How to register: Pre-registration is required. To register for Cloud-Native Transformation Summit 2019, add it on during your KubeCon + CloudNativeCon registration.For questions regarding this event, please reach out to Jennifer Pospishek, Jennifer@sysdig.com.";;"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Hall 8.0 D1";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
"06a40d39976bd6429f44bd4d83b7ee56";"Continuous Delivery Summit hosted by CDF (Additional Registration + Fee Required)";"Pre-Conference Co-Located Events";"Registration Fees: USD $50The Continuous Delivery Summit is a one-day event that brings together the open source CI/CD community. The day will start with keynotes, project showcases and stories from end users. The afternoon will consist of BoF sessions around CI/CD themes, where attendees can collaborate, meet peers and drive the future direction of continuous delivery.How to register: Pre-registration is required. To register for Continuous Delivery Summit, add it on during your KubeCon + CloudNativeCon registration.";"Any (All levels of expertise would benefit from this session)";"Monday May 20, 2019 09:00";"Monday May 20, 2019 17:00";"Hall 8.0 B3";"2019-05-20T09:00:00";"2019-05-20T17:00:00"
