48efcfc2382ae91c65a509bcb1323a88üSean Michael KernerüJedi, eWeek / InternetNews / eSecurity Planet
48efcfc2382ae91c65a509bcb1323a88üFrederic LardinoisüNews Editor, TechCrunch
a26965d9720035da90365756d0e17246üBeatriz Martínez RubioüCloud Engineer, IBM
60b42b610a13993bfde95431d4b2df63üVladimir VivienüSoftware Engineer, VMware
7421810e408f0d8e9bb203a1889ef66aüFernando DiazüSoftware Engineer, IBM
b9aa6fded8eac23badb08fe4b017af8aüJames WenüSenior Site Reliability Engineer, Spotify
9c9a3814f089900a626f827d83d7527büHannah FoxwellüAssociate Director, Pivotal
5128b32980b4b2b0373905101c9faf26üAntoine LegrandüSoftware Engineering Manager, Red Hat
6592d145e98f7bdbb6553bb26442749düPiotr SzczesniaküSenior Software Engineer, Google
6581550dd69e4eccfc6f2f530033a5f6üRuben D OrduzüMember Technical Staff, VMware
ca3b4bf5c0bfa86e0d6ae3d58b809430üRisha MarsüSoftware Engineer, Buoyant
725be18bfe35c22104469a4c42a9c9d5üZach ArnoldüDevOps Engineering Manager, Ygrene Energy Fund
3603a09534eca7e8d3f0a8ff07f457a3üOlive PowerüArchitect, VMware
aa6a2ecade2621dadd9500f58b22b675üJoel SpeedüCloud Infrastructure Engineer, Pusher
e07702cc9df3cad3594d9f49292bd580üKaslin FieldsüCloud Advocate, Oracle
43e6c8e96bf834ca8a51acd6e623307cüRenaud GaubertüSoftware Engineer, NVIDIA
f202ffd8110e4626ba3cdea3ab6ddf99üMatthias BertschyüLead DevOps Engineer, Swissquote Bank
2628b7c3c57f2f2b14e74e5a0e8e10a6üEduard IacoboaiaüSenior System Administrator, Booking.com
11aca575cec827a8cc73e380eba5b966üLewis Denham-ParryüInstructor / Co-Founder, learnk8s.io / CloudNativeWales
8ba3a7f7b10948c52e4c4cb7fda4c551üJoab JacksonüManaging Editor, The New Stack
8ba3a7f7b10948c52e4c4cb7fda4c551üAlex WilliamsüFounder & Editor-in-Chief, The New Stack
8ba3a7f7b10948c52e4c4cb7fda4c551üBob QuillinüVP Developer Relations, Oracle Cloud
8ba3a7f7b10948c52e4c4cb7fda4c551üJon GirvenüCo-Founder & CTO, Sauce
8ba3a7f7b10948c52e4c4cb7fda4c551üAnt KennedyüCTO, Gapsquare
8ba3a7f7b10948c52e4c4cb7fda4c551üBola RotibiüFounder & Research Director, Creative Intellect Consulting
3d40bdd5bd6e6c1fa4c5381af6fd89d9üDan KohnüExecutive Director, Cloud Native Computing Foundation
b5df02b7c510a18245e970ef1a185bddüCheryl HungüDirector of Ecosystem, CNCF
f189f8d8434a9fcdf35b626759c7a8cbüBryan LilesüSenior Staff Engineer, VMware
ba7f07aefe1767dc69347b14a6c3a95aüOliver GouldüBuoyant, CTO
05038ee9203ae7a6fcf66e671b5c97f2üUrvashi MohnaniüSoftware Engineer, Red Hat
5efe0cc15a76b6abe2262ee95bb4fd6düBen SigelmanüCEO and Co-founder, LightStep
5efe0cc15a76b6abe2262ee95bb4fd6düMorgan McCleanüProduct Manager, Google
d20dfcaf598d326594cf11edf29a88f1üEduardo SilvaüPrincipal Engineer, Arm / Treasure Data
d493f52ce09a526dc3c62482b756972eüVijoy PandeyüVP/CTO Cloud, Cisco
36497824e88912ab945c3f345898ba0büLucas KäldströmüCNCF Ambassador, Independent
36497824e88912ab945c3f345898ba0büNikhita RaghunathüSoftware Engineer, Loodse
4e07555cf1c4ec5d967051a63cc11db4üBryan LilesüSenior Staff Engineer, VMware
ea3495a2d076d3821b3ac39b235d7812üAkihiro SudaüSoftware Engineer, NTT
9d7072e7afa029bd1f46b406bb9041cfüSebastian ScheeleüCEO, Loodse
9d7072e7afa029bd1f46b406bb9041cfüSimon PearceüSystem Architect, SysEleven
3bfe91da65e47c0aad3ef8a8ec65e9dcüAndrew MartinüCo-founder, Control Plane
0a7e1dc16047577f97bf92db11042f69üDr. Jennifer AkullianüFounder/IO Psychologist, Growth Coaching Institute
2ecee33368770134d2af9b11da4601a7üAdel ZaalouküSenior Software Engineer, SAP
7b4349f4f71dcbdaadc580907566449aüMarcin WielgusüSenior Software Engineer, Google
1f5c2ef93c5e8de5c2de54f3b1362d1düLucina StrickoüProduct Manager, Vulk Coop & CNCF
1f5c2ef93c5e8de5c2de54f3b1362d1düDenver WilliamsüProject Co-Lead, cncf.ci, Vulk Coop & CNCF
4b7b12b41425846d08e8b49fb0ab7e99üBryan BorehamüDirector Software Engineering, Weaveworks
4b7b12b41425846d08e8b49fb0ab7e99üTom WilkieüVP Product, Grafana Labs
b52da02625300925c3d75bcdb0ae0032üClaire LaurenceüSenior Technical Program Manager, Pivotal
b52da02625300925c3d75bcdb0ae0032üTim PepperüOpen Source Engineer, VMware
8d70f6d3436b05788322c5bb410f858düTasha DrewüProduct Manager, VMWare
8bca12cce74ece893341ada167f5ab48üJonathan BerkhahnüOpen Source Contributor, IBM
6daca46c9852693891fcd314c1f0b526üBowei DuüStaff Software Engineer, Google
6daca46c9852693891fcd314c1f0b526üRohit RamkumarüSoftware Engineer, Google
