TalkId;Name;Role
VM1808:9 48efcfc2382ae91c65a509bcb1323a88;Sean Michael Kerner;Jedi, eWeek / InternetNews / eSecurity Planet
VM1808:9 48efcfc2382ae91c65a509bcb1323a88;Frederic Lardinois;News Editor, TechCrunch
VM1808:9 a26965d9720035da90365756d0e17246;Beatriz Martínez Rubio;Cloud Engineer, IBM
VM1808:9 60b42b610a13993bfde95431d4b2df63;Vladimir Vivien;Software Engineer, VMware
VM1808:9 7421810e408f0d8e9bb203a1889ef66a;Fernando Diaz;Software Engineer, IBM
VM1808:9 b9aa6fded8eac23badb08fe4b017af8a;James Wen;Senior Site Reliability Engineer, Spotify
VM1808:9 9c9a3814f089900a626f827d83d7527b;Hannah Foxwell;Associate Director, Pivotal
VM1808:9 5128b32980b4b2b0373905101c9faf26;Antoine Legrand;Software Engineering Manager, Red Hat
VM1808:9 6592d145e98f7bdbb6553bb26442749d;Piotr Szczesniak;Senior Software Engineer, Google
VM1808:9 6581550dd69e4eccfc6f2f530033a5f6;Ruben D Orduz;Member Technical Staff, VMware
VM1808:9 ca3b4bf5c0bfa86e0d6ae3d58b809430;Risha Mars;Software Engineer, Buoyant
VM1808:9 725be18bfe35c22104469a4c42a9c9d5;Zach Arnold;DevOps Engineering Manager, Ygrene Energy Fund
VM1808:9 3603a09534eca7e8d3f0a8ff07f457a3;Olive Power;Architect, VMware
VM1808:9 aa6a2ecade2621dadd9500f58b22b675;Joel Speed;Cloud Infrastructure Engineer, Pusher
VM1808:9 e07702cc9df3cad3594d9f49292bd580;Kaslin Fields;Cloud Advocate, Oracle
VM1808:9 43e6c8e96bf834ca8a51acd6e623307c;Renaud Gaubert;Software Engineer, NVIDIA
VM1808:9 f202ffd8110e4626ba3cdea3ab6ddf99;Matthias Bertschy;Lead DevOps Engineer, Swissquote Bank
VM1808:9 2628b7c3c57f2f2b14e74e5a0e8e10a6;Eduard Iacoboaia;Senior System Administrator, Booking.com
VM1808:9 11aca575cec827a8cc73e380eba5b966;Lewis Denham-Parry;Instructor / Co-Founder, learnk8s.io / CloudNativeWales
VM1808:9 8ba3a7f7b10948c52e4c4cb7fda4c551;Joab Jackson;Managing Editor, The New Stack
VM1808:9 8ba3a7f7b10948c52e4c4cb7fda4c551;Alex Williams;Founder & Editor-in-Chief, The New Stack
VM1808:9 8ba3a7f7b10948c52e4c4cb7fda4c551;Bob Quillin;VP Developer Relations, Oracle Cloud
VM1808:9 8ba3a7f7b10948c52e4c4cb7fda4c551;Jon Girven;Co-Founder & CTO, Sauce
VM1808:9 8ba3a7f7b10948c52e4c4cb7fda4c551;Ant Kennedy;CTO, Gapsquare
VM1808:9 8ba3a7f7b10948c52e4c4cb7fda4c551;Bola Rotibi;Founder & Research Director, Creative Intellect Consulting
VM1808:9 3d40bdd5bd6e6c1fa4c5381af6fd89d9;Dan Kohn;Executive Director, Cloud Native Computing Foundation
VM1808:9 b5df02b7c510a18245e970ef1a185bdd;Cheryl Hung;Director of Ecosystem, CNCF
VM1808:9 f189f8d8434a9fcdf35b626759c7a8cb;Bryan Liles;Senior Staff Engineer, VMware
VM1808:9 ba7f07aefe1767dc69347b14a6c3a95a;Oliver Gould;Buoyant, CTO
VM1808:9 05038ee9203ae7a6fcf66e671b5c97f2;Urvashi Mohnani;Software Engineer, Red Hat
VM1808:9 5efe0cc15a76b6abe2262ee95bb4fd6d;Ben Sigelman;CEO and Co-founder, LightStep
VM1808:9 5efe0cc15a76b6abe2262ee95bb4fd6d;Morgan McClean;Product Manager, Google
VM1808:9 d20dfcaf598d326594cf11edf29a88f1;Eduardo Silva;Principal Engineer, Arm / Treasure Data
VM1808:9 d493f52ce09a526dc3c62482b756972e;Vijoy Pandey;VP/CTO Cloud, Cisco
VM1808:9 36497824e88912ab945c3f345898ba0b;Lucas Käldström;CNCF Ambassador, Independent
VM1808:9 36497824e88912ab945c3f345898ba0b;Nikhita Raghunath;Software Engineer, Loodse
VM1808:9 4e07555cf1c4ec5d967051a63cc11db4;Bryan Liles;Senior Staff Engineer, VMware
VM1808:9 ea3495a2d076d3821b3ac39b235d7812;Akihiro Suda;Software Engineer, NTT
VM1808:9 9d7072e7afa029bd1f46b406bb9041cf;Sebastian Scheele;CEO, Loodse
VM1808:9 9d7072e7afa029bd1f46b406bb9041cf;Simon Pearce;System Architect, SysEleven
VM1808:9 3bfe91da65e47c0aad3ef8a8ec65e9dc;Andrew Martin;Co-founder, Control Plane
VM1808:9 0a7e1dc16047577f97bf92db11042f69;Dr. Jennifer Akullian;Founder/IO Psychologist, Growth Coaching Institute
VM1808:9 2ecee33368770134d2af9b11da4601a7;Adel Zaalouk;Senior Software Engineer, SAP
VM1808:9 7b4349f4f71dcbdaadc580907566449a;Marcin Wielgus;Senior Software Engineer, Google
VM1808:9 1f5c2ef93c5e8de5c2de54f3b1362d1d;Lucina Stricko;Product Manager, Vulk Coop & CNCF
VM1808:9 1f5c2ef93c5e8de5c2de54f3b1362d1d;Denver Williams;Project Co-Lead, cncf.ci, Vulk Coop & CNCF
VM1808:9 4b7b12b41425846d08e8b49fb0ab7e99;Bryan Boreham;Director Software Engineering, Weaveworks
VM1808:9 4b7b12b41425846d08e8b49fb0ab7e99;Tom Wilkie;VP Product, Grafana Labs
VM1808:9 b52da02625300925c3d75bcdb0ae0032;Claire Laurence;Senior Technical Program Manager, Pivotal
VM1808:9 b52da02625300925c3d75bcdb0ae0032;Tim Pepper;Open Source Engineer, VMware
VM1808:9 8d70f6d3436b05788322c5bb410f858d;Tasha Drew;Product Manager, VMWare
VM1808:9 8bca12cce74ece893341ada167f5ab48;Jonathan Berkhahn;Open Source Contributor, IBM
VM1808:9 6daca46c9852693891fcd314c1f0b526;Bowei Du;Staff Software Engineer, Google
VM1808:9 6daca46c9852693891fcd314c1f0b526;Rohit Ramkumar;Software Engineer, Google
VM1808:9 7cbb708191abc3417a8cac24381d7662;Fabio Giannetti;Senior Consultant, MasterCard
VM1808:9 7cbb708191abc3417a8cac24381d7662;Allison Richardet;Software Engineer, OCI
VM1808:9 b999d2de21d10122bb4c67d03985a6f5;Cody Gibb;Software Engineer, Uber
VM1808:9 b999d2de21d10122bb4c67d03985a6f5;Yiran Wang;Software Engineer, Uber
VM1808:9 2322814ecbe2d3cd24e1155dcef8317c;Yonggang Liu;Senior Software Engineer, Google
VM1808:9 2322814ecbe2d3cd24e1155dcef8317c;Quanjie Lin;Software Engineer, Google
VM1808:9 50678871e3f29e7cc640c3cc7646062d;David Gageot;Developer Advocate, Google
VM1808:9 76f1be4b6ea223914bb3e1f729ea6d4e;Ben Sigelman;CEO and Co-founder, LightStep
VM1808:9 76f1be4b6ea223914bb3e1f729ea6d4e;Morgan McClean;Product Manager, Google
VM1808:9 76f1be4b6ea223914bb3e1f729ea6d4e;Bogdan Drutu;Google
VM1808:9 8f4b889a5f64e44d60d610d8116e9e8d;David Zhu;Software Engineer, Google
VM1808:9 8f4b889a5f64e44d60d610d8116e9e8d;Jan Šafránek;Software Engineer, Red Hat
VM1808:9 31bc79860c7e28bab523c159ce0e6ad5;Ana Calin;Systems Engineer, Paybase
VM1808:9 31bc79860c7e28bab523c159ce0e6ad5;Luke Bond;Co-founder, ControlPlane
VM1808:9 3700904480d79a62c4056795979cae01;Sebastien Goasguen;Cofounder & CTO, TriggerMesh
VM1808:9 b3d2bca8a9934724a71def8e5862640c;Chris Crone;Engineering Manager, Docker
VM1808:9 0423ba7da32b95b4aa8a10b1a712e730;Johannes Unterstein;Software Engineer, Neo4j
VM1808:9 c7a84b537a42e61ee6f7e81bd9298bdc;Gareth Rushgrove;Director of Product Management, Snyk
VM1808:9 767d67e0dd22f8ac69bf63e5ac538cb1;Ahmet Alp Balkan;Developer Advocate, Google
VM1808:9 767d67e0dd22f8ac69bf63e5ac538cb1;Maciej Szulik;Software Engineer, Red Hat
VM1808:9 08bb2e24f470336626710f13903561c7;Craig Peters;Principal Program Manager, Microsoft
VM1808:9 08bb2e24f470336626710f13903561c7;Stephen Augustus;Sr. Cloud Native Architect, VMware
VM1808:9 6e851cb68d386ed1b5e1e66cab0a2701;Scott Nichols;Software Engineer 软件工程师, Google
VM1808:9 6e851cb68d386ed1b5e1e66cab0a2701;Klaus Deissner;Development Architect, SAP
VM1808:9 e4b58d70c98e494f5310998020a006ab;Matt Fisher;Software Engineer, Microsoft
VM1808:9 e4b58d70c98e494f5310998020a006ab;Michelle Noorali;Software Engineer, Microsoft
VM1808:9 6fc1fe2b62d6ca1fabe80369bdb6c533;Frederic Branczyk;Software Engineer, Red Hat
VM1808:9 bfb8f18da25276efe96c0176b38580f5;William Morgan;CEO, Buoyant
VM1808:9 898b0bb47ee569d174e66a6391bccc3d;Ed Warnicke;Distinguished Consulting Engineer, Cisco
VM1808:9 898b0bb47ee569d174e66a6391bccc3d;Frederick F. Kautz IV;Head of Edge Infrastructure, Doc.ai
VM1808:9 f6b386ed1c2a917ea78c00b1d32660d0;Scott Emmons;Principal Engineer, Scytale
VM1808:9 f6b386ed1c2a917ea78c00b1d32660d0;Emiliano Berenbaum;CTO, Scytale
VM1808:9 bc01dcaa15b2b7e6ef9270edaa228e8f;John Plevyak;Software Engineer, Google
VM1808:9 bc01dcaa15b2b7e6ef9270edaa228e8f;Dhi Aurrahman;Software Engineer, Tetrate
VM1808:9 35830bda256ddc8fb18f437bde411741;Henning Jacobs;Head of Developer Productivity, Zalando SE
VM1808:9 0e64d55531346e6ec61ad7bc54fdbe5c;Josh Berkus;Community Lead at Red Hat, Red Hat
VM1808:9 8240a0b1edf76c33818e80a7304f45a0;Pradipta Banerjee;Senior Technical Staff Member, IBM
VM1808:9 8240a0b1edf76c33818e80a7304f45a0;Harshal Patil;Advisory Systems Software Engineer, IBM
VM1808:9 8b2a7890d8f0e433ea36915ee86f26ed;Diem Vu;Software Engineer, Google
VM1808:9 8b2a7890d8f0e433ea36915ee86f26ed;Quanjie Lin;Software Engineer, Google
VM1808:9 a350f0ecda6c58da9ece1fe44bd0b412;Kevin Lingerfelt;Software Engineer, Buoyant
VM1808:9 5dd395d7c09464d130b98aafb305620b;Bob Killen;Research Cloud Administrator, University of Michigan
VM1808:9 5dd395d7c09464d130b98aafb305620b;Lindsey Tulloch;Student, Brock University
VM1808:9 ce66c6f25b7ac6e731639447b54337d4;Allison Richardet;Software Engineer, OCI
VM1808:9 ce66c6f25b7ac6e731639447b54337d4;Ivan Pedrazas;Solutions Architect, State Street
VM1808:9 ce66c6f25b7ac6e731639447b54337d4;Alexis Richardson;Founder & CEO, Weaveworks
VM1808:9 ce66c6f25b7ac6e731639447b54337d4;Laura Tacho;Director of Engineering, CloudBees
VM1808:9 ce66c6f25b7ac6e731639447b54337d4;Tracy Miranda;Director of Open Source Community, CloudBees
VM1808:9 77c44d7ac32efd41f0f70d300c82b41e;David Benque;Senior Software Engineer, Amadeus
VM1808:9 77c44d7ac32efd41f0f70d300c82b41e;Cédric Lamorinière;Principal Software Engineer, Datadog
VM1808:9 0583e545ff4397696f4449024a7c54ac;Phillip Wittrock;SWE, Google
VM1808:9 0583e545ff4397696f4449024a7c54ac;Maciej Szulik;Software Engineer, Red Hat
VM1808:9 a1a0216bec9829ce61063410a09fa713;Daniel Garcia;SaaS Architect, Infoblox
VM1808:9 a1a0216bec9829ce61063410a09fa713;Michael Grosser;Founder, Okkur Labs
VM1808:9 2ad9f9a94a2c9f03a6a0a80a1a55d3fa;Masahiro Nakagawa;Principal Engineer, ARM Treasure Data
VM1808:9 ad277b0dda2c91f1025658608a658589;Dejan Bosanac;Software Engineer, Red Hat
VM1808:9 ad277b0dda2c91f1025658608a658589;Cindy Xing;Senior Cloud Software Architect 高级云软件架构师, Futurewei
VM1808:9 939a878805f79fbd080be98e25b84c02;David vonThenen;Cloud Native Engineer, VMware
VM1808:9 939a878805f79fbd080be98e25b84c02;Steven Wong;Open Source Community Relations Engineer, VMware
VM1808:9 733f65132c1961b9b3223893fd6aa29f;Waldemar Quevedo;Software Engineer, Synadia Communications, Inc
VM1808:9 6c58c113285d32b1d3810563d43b6072;Cole Wagner;Software Engineer, Google
VM1808:9 6c58c113285d32b1d3810563d43b6072;Aishwarya Sundar;GKE /OSS Test Engineer, Google
VM1808:9 83f5dfffcbd7c5dd75284ceeea2331d8;Jan Tattermusch;Senior Software Engineer, Google
VM1808:9 ad66e761bc52946417198e8a4e64eaf1;David Eads;Senior Principal Software Engineer, Red Hat
VM1808:9 ad66e761bc52946417198e8a4e64eaf1;Stefan Schimanski;Principal Software Engineer, Red Hat
VM1808:9 1f082bcc172bbfdf88f46a2a2399737b;Wojciech Tyczynski;Staff Software Engineer, Google
VM1808:9 1f082bcc172bbfdf88f46a2a2399737b;Minhan Xia;Software Engineer, Google
VM1808:9 8795d700c00ade4fe49923db8dc5df0f;Vallery Lancey;Infrastructure Software Engineer, Lyft
VM1808:9 8795d700c00ade4fe49923db8dc5df0f;Seth McCombs;Site Reliability Engineer, Triller
VM1808:9 22b28f1da4b7c70406c75447c17547df;Mohsen Rezaei;Staff Software Engineer, WePay
VM1808:9 f28d7ba24b5974a6b643dd75502e57c3;Ben Sigelman;CEO and Co-founder, LightStep
VM1808:9 f28d7ba24b5974a6b643dd75502e57c3;Bogdan Drutu;Google
VM1808:9 f28d7ba24b5974a6b643dd75502e57c3;Spiros Xanthos;Founder and CEO, Omnition
VM1808:9 1a5444811d21e6aba71c6c3430290e7d;Randy Abernethy;Managing Partner, RX-M, LLC
VM1808:9 7f6b25e8e51af27c8bf728ffaac26881;Michael Hough;Software Engineer, IBM
VM1808:9 7f6b25e8e51af27c8bf728ffaac26881;Sam Irvine;Infrastructure Engineer, ControlPlane
VM1808:9 626425e1ab0f5e2de91f5fa7166d017a;Michelle Casbon;Senior Engineer, Google
VM1808:9 626425e1ab0f5e2de91f5fa7166d017a;Dan Anghel;Strategic Cloud Engineer, Google
VM1808:9 626425e1ab0f5e2de91f5fa7166d017a;Michal Zylinski;Cloud Customer Engineer, Google
VM1808:9 626425e1ab0f5e2de91f5fa7166d017a;Dan Sanche;Developer Programs Engineer, Google
VM1808:9 c2a4d0dd9347a77596c0d7917b977c11;Christian Roggia;Backend Software Engineer, Engel & Völkers Technology GmbH
VM1808:9 9e197cac5a5fd60d551e8f9ed5c50d17;Josh Rosso;Staff Field Engineer, VMware
VM1808:9 9e197cac5a5fd60d551e8f9ed5c50d17;Craig Tracey;Staff Field Engineer, VMware
VM1808:9 f05f85dc745ac9f845e833f5a51c40db;Gregg Donovan;Staff Software Engineer, Etsy.com, Inc.
VM1808:9 f05f85dc745ac9f845e833f5a51c40db;Chris Love;Founder, CNM Consulting
VM1808:9 eaf44ee1917135763f794d4ec5b5703a;Jason Murray;Cloud Infrastructure Engineer, iNNOVO Cloud GmbH
VM1808:9 eaf44ee1917135763f794d4ec5b5703a;Nikhita Raghunath;Software Engineer, Loodse
VM1808:9 eaf44ee1917135763f794d4ec5b5703a;Kris Nova;Independent
VM1808:9 eaf44ee1917135763f794d4ec5b5703a;James Munnelly;Solutions Engineer, Jetstack.io
VM1808:9 eaf44ee1917135763f794d4ec5b5703a;Cyrine Jabri;Cloud Infrastructure Engineer, iNNOVO Cloud GmbH
VM1808:9 56586b09af54b617c5b662db75f7786a;Daniel Smith;Staff Software Engineer, Google
VM1808:9 3e8f6b5af19bf65b5844e1c67287c643;Terence Lee;Principal Languages Engineer, Heroku
VM1808:9 3e8f6b5af19bf65b5844e1c67287c643;Stephen Levine;Staff Software Engineer, Pivotal
VM1808:9 f397d79b6a8db51d40fbc2d0a6748934;Jorge Salamero Sanz;Director of Technical Marketing, Sysdig
VM1808:9 c93be9cf5c877763e2dddb1c143a77bf;(Haining Henry) Zhang;Technical Director, VMware
VM1808:9 c93be9cf5c877763e2dddb1c143a77bf;Steven Ren;Senior Manager, VMware
VM1808:9 f150c6def16354f6413475c03cd08b27;Jaice Singer DuMars;Cloud Native Strategy Program Manager, Google
VM1808:9 edee17423a91d309d926d634eaadf9be;Rita Zhang;Principal Software Engineer, Microsoft
VM1808:9 edee17423a91d309d926d634eaadf9be;Max Smythe;Software Engineer, Google
VM1808:9 10c73775b8d8dde826e6f26146228456;Justin Cappos;Professor, New York University
VM1808:9 10c73775b8d8dde826e6f26146228456;Justin Cormack;Security Engineer, Docker
VM1808:9 df5fa6b203abc37238d2ed84ba2cfb2c;Mikkel Larsen;Senior Software Engineer, Zalando SE
VM1808:9 ade2d0c140d70cf3a1056d769555c343;Miguel Martinez;Senior Software Engineer, Bitnami
VM1808:9 afaeb40f993502fd0a80d1ac63272526;Álex González;Tech lead, BBVA Next Technologies
VM1808:9 afaeb40f993502fd0a80d1ac63272526;Héctor Rodes López;CTO, Adhara
VM1808:9 57b407ee63593d7bd1e72297e377ba2b;Dan Berg;Distinguished Engineer, IBM
VM1808:9 57b407ee63593d7bd1e72297e377ba2b;Ram Vennam;Product Manager for IBM Cloud and Istio, IBM
VM1808:9 76b850a9511525b6bd606976ba3c6ead;Michael Elder;Distinguished Engineer, IBM
VM1808:9 76b850a9511525b6bd606976ba3c6ead;Brad Topol;Distinguished Engineer, IBM
VM1808:9 ed8389bdbd1a72b8903942393542f8d9;John Studarus;Cloud Architect, JHL Consulting
VM1808:9 fdd59c974fdeec56901d9fb6c9e23fb2;Jennifer Buckley;Software Engineer, Google
VM1808:9 fdd59c974fdeec56901d9fb6c9e23fb2;Phillip Wittrock;SWE, Google
VM1808:9 b30ac663d7c4dc30ade09d66260fbb12;Caleb Miles;Technical Program Manager, Open Source Strategy, Google
VM1808:9 c6841464cd56e2212b28f141c8471746;Adrien Trouillaud;Founder and CEO, Admiralty
VM1808:9 d8d5e9a6589814d93c63e3d4f4cdb998;Cheryl Hung;Director of Ecosystem, CNCF
VM1808:9 fafcc597cd49c73b584b32e15ddf0510;Sylvain Hellegouarch;CTO, ChaosIQ
VM1808:9 06c403589ebddeed1a4d8825691adbb2;Timothy St. Clair;Kubernetes Steering Committee Member, VMware
VM1808:9 06c403589ebddeed1a4d8825691adbb2;Lucas Käldström;CNCF Ambassador, Independent
VM1808:9 6ac83cf45e37ff117b6068b166fbee6e;Jeyappragash Jeyakeerthi;tetrate.io
VM1808:9 6ac83cf45e37ff117b6068b166fbee6e;Sarah Allen;
VM1808:9 4bfd0cd9fee9bc72e08797661ed3bd95;Elsie Phillips;Product Marketing Manager, Red Hat
VM1808:9 4bfd0cd9fee9bc72e08797661ed3bd95;Paris Pittman;Kubernetes OSS Strategy, Google
VM1808:9 32b78404a256dac0205668b43a5f803a;Zuozheng Hu;Senior Software Engineer, Alibaba Group
VM1808:9 32b78404a256dac0205668b43a5f803a;Allen Sun;Senior Software Engineer, Alibaba Cloud
VM1808:9 1380085bfceae56d071b2b612bd617bc;Stephen Augustus;Sr. Cloud Native Architect, VMware
VM1808:9 1380085bfceae56d071b2b612bd617bc;Ihor Dvoretskyi;Developer Advocate, Cloud Native Computing Foundation
VM1808:9 5fbb918a309a0d6e2a56de5a769c92f0;Travis Nielsen;Senior Principal Software Engineer, Red Hat
VM1808:9 5fbb918a309a0d6e2a56de5a769c92f0;Alexander Trost;DevOps Engineer, Cloudibility
VM1808:9 2fc24d254a00c07252c997d8159501ba;Ria Bhatia;Program Manager, Microsoft
VM1808:9 2fc24d254a00c07252c997d8159501ba;Anubhav Mishra;Developer Advocate, HashiCorp
VM1808:9 9366cbdff27ed2500e7d132ec130443c;David Aronchick;Program Manager, Microsoft
VM1808:9 9366cbdff27ed2500e7d132ec130443c;Yaron Haviv;Founder and CTO, Iguazio
VM1808:9 646b0925e129037f5908ef81b3422387;Mark Stemm;Senior Software Engineer, Sysdig
VM1808:9 2692b58cd8b2a0f97ae704b3c4f20112;Dan Wendlandt;CEO, Isovalent
VM1808:9 d182a63bbc9fe3112291d6d84db3bdd0;Jonas Bonér;Founder & CTO, Lightbend Inc.
VM1808:9 f2f331ad8f573c0ec43b174b06c84798;Lin Sun;Senior Technical Staff Member, IBM
VM1808:9 f2f331ad8f573c0ec43b174b06c84798;Zack Butcher;Founding Engineer, Tetrate
VM1808:9 f2f331ad8f573c0ec43b174b06c84798;Jason McGee;IBM Fellow, IBM
VM1808:9 f2f331ad8f573c0ec43b174b06c84798;William Morgan;CEO, Buoyant
VM1808:9 f2f331ad8f573c0ec43b174b06c84798;Louis Ryan;Principal Software Engineer, Google
VM1808:9 900c8f68a63f7707e4367c17e4758af5;Janet Kuo;Software Engineer, Google
VM1808:9 89990fc7f4a593dd706fb0b58774c019;Gabe Monroy;Partner Program Manager, Microsoft
VM1808:9 dc79678976f980a3e1f1c99962fd76ec;Janet Kuo;Software Engineer, Google
VM1808:9 569c891963691b7a15ee9382c1184675;Joe Beda;Principal Engineer, VMware
VM1808:9 dde6900b24bc8669906e8218b30cc5f9;Ricardo Rocha;Computing Engineer, CERN
VM1808:9 dde6900b24bc8669906e8218b30cc5f9;Lukas Heinrich;Physicist, CERN
VM1808:9 171d15d282e98a3d23a973d6665e59de;Rob Szumski;Principal Product Manager for OpenShift, Red Hat
VM1808:9 ad0016fc8735d0fc745459e0bb508f51;Cheryl Hung;Director of Ecosystem, CNCF
VM1808:9 1e8d415abcd274d046d729b904654cdb;Janet Kuo;Software Engineer, Google
VM1808:9 ab7733229e6711b39e454c5670a6d0ff;Joab Jackson;Managing Editor, The New Stack
VM1808:9 ab7733229e6711b39e454c5670a6d0ff;Alex Williams;Founder & Editor-in-Chief, The New Stack
VM1808:9 ab7733229e6711b39e454c5670a6d0ff;Pere Monclus;CTO, Network & Security, VMware
VM1808:9 1b7e782dbbe7f677f8bf27fbd7181593;Bryan Liles;Senior Staff Engineer, VMware
VM1808:9 eb74b05763e1f348b5376ed5e7594843;David Xia;Infrastructure Engineer, Spotify
VM1808:9 7cd22421ed299ff8b7f1eedd8be98d15;Bob Quillin;VP Developer Relations, Oracle Cloud
VM1808:9 be106775f2a64f8c846c96f42e162dda;Katie Gamanji;Cloud Platform Engineer, Condé Nast
VM1808:9 34ec0411391dbcbed6bc69ca8222a557;Jason McGee;IBM Fellow, IBM
VM1808:9 893714a2bb87d7ff3112bf6a9c78710a;Saad Ali;Senior Software Engineer, Google
VM1808:9 98395ab64444de2b3d3402385f0e73f6;Bryan Liles;Senior Staff Engineer, VMware
VM1808:9 5ca6bf4049d71784fe26ad9c9d4cc461;Ralph Squillace;Principal Program Manager, Microsoft
VM1808:9 5ca6bf4049d71784fe26ad9c9d4cc461;Ivan Towlson;Principal Software Engineer, Microsoft
VM1808:9 904e4f9eda7b6a36f2f2113a0291766c;Liron Levin;Chief architect, Twistlock
VM1808:9 904e4f9eda7b6a36f2f2113a0291766c;Ariel Zelivansky;Security Research Team Lead, Twistlock
VM1808:9 b21864038538dfa0a473a61488e48dbe;Cheryl Hung;Director of Ecosystem, CNCF
